-------- MisiSeqMS Start -------
File:C:\Users\patch\OneDrive\Documents\VisualStudio2022\Projects\MidiSeqMS\MusicStudioSongFiles\MusicStudio\PRELUDE.SNG has 2714 Bytes
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:8 State:2  *Ticks:67
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:7 State:2  *Ticks:68
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:6 State:2  *Ticks:69
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:5 State:2  *Ticks:70
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:4 State:2  *Ticks:71
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:3 State:2  *Ticks:72
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:2 State:3  *Ticks:73
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:1 State:3  *Ticks:74
---- PLAY QUEUE: Total Objects:1
    Note:72 EVENT:7 Tick:0 State:4  *Ticks:75
   ---- Note Timed Out: Pitch:72 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:23 State:2  *Ticks:76
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:22 State:2  *Ticks:77
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:21 State:2  *Ticks:78
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:20 State:2  *Ticks:79
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:19 State:2  *Ticks:80
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:18 State:2  *Ticks:81
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:17 State:2  *Ticks:82
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:16 State:2  *Ticks:83
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:15 State:2  *Ticks:84
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:14 State:2  *Ticks:85
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:13 State:2  *Ticks:86
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:12 State:2  *Ticks:87
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:11 State:2  *Ticks:88
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:10 State:2  *Ticks:89
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:9 State:2  *Ticks:90
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:8 State:2  *Ticks:91
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:7 State:2  *Ticks:92
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:6 State:2  *Ticks:93
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:5 State:2  *Ticks:94
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:4 State:2  *Ticks:95
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:3 State:2  *Ticks:96
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:2 State:3  *Ticks:97
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:1 State:3  *Ticks:98
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:8 Tick:0 State:4  *Ticks:99
   ---- Note Timed Out: Pitch:67 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:23 State:2  *Ticks:100
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:22 State:2  *Ticks:101
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:21 State:2  *Ticks:102
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:20 State:2  *Ticks:103
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:19 State:2  *Ticks:104
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:18 State:2  *Ticks:105
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:17 State:2  *Ticks:106
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:16 State:2  *Ticks:107
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:15 State:2  *Ticks:108
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:14 State:2  *Ticks:109
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:13 State:2  *Ticks:110
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:12 State:2  *Ticks:111
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:11 State:2  *Ticks:112
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:10 State:2  *Ticks:113
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:9 State:2  *Ticks:114
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:8 State:2  *Ticks:115
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:7 State:2  *Ticks:116
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:6 State:2  *Ticks:117
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:5 State:2  *Ticks:118
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:4 State:2  *Ticks:119
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:3 State:2  *Ticks:120
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:2 State:3  *Ticks:121
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:1 State:3  *Ticks:122
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:9 Tick:0 State:4  *Ticks:123
   ---- Note Timed Out: Pitch:69 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:10 Tick:11 State:2  *Ticks:124
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:10 Tick:10 State:2  *Ticks:125
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:10 Tick:9 State:2  *Ticks:126
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:10 Tick:8 State:2  *Ticks:127
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:10 Tick:7 State:2  *Ticks:128
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:10 Tick:6 State:2  *Ticks:129
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:10 Tick:5 State:2  *Ticks:130
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:10 Tick:4 State:2  *Ticks:131
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:10 Tick:3 State:2  *Ticks:132
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:10 Tick:2 State:3  *Ticks:133
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:10 Tick:1 State:3  *Ticks:134
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:10 Tick:0 State:4  *Ticks:135
   ---- Note Timed Out: Pitch:67 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:11 Tick:11 State:2  *Ticks:136
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:11 Tick:10 State:2  *Ticks:137
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:11 Tick:9 State:2  *Ticks:138
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:11 Tick:8 State:2  *Ticks:139
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:11 Tick:7 State:2  *Ticks:140
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:11 Tick:6 State:2  *Ticks:141
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:11 Tick:5 State:2  *Ticks:142
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:11 Tick:4 State:2  *Ticks:143
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:11 Tick:3 State:2  *Ticks:144
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:11 Tick:2 State:3  *Ticks:145
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:11 Tick:1 State:3  *Ticks:146
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:11 Tick:0 State:4  *Ticks:147
   ---- Note Timed Out: Pitch:65 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:12 Tick:11 State:2  *Ticks:148
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:12 Tick:10 State:2  *Ticks:149
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:12 Tick:9 State:2  *Ticks:150
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:12 Tick:8 State:2  *Ticks:151
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:12 Tick:7 State:2  *Ticks:152
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:12 Tick:6 State:2  *Ticks:153
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:12 Tick:5 State:2  *Ticks:154
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:12 Tick:4 State:2  *Ticks:155
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:12 Tick:3 State:2  *Ticks:156
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:12 Tick:2 State:3  *Ticks:157
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:12 Tick:1 State:3  *Ticks:158
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:12 Tick:0 State:4  *Ticks:159
   ---- Note Timed Out: Pitch:64 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:60 EVENT:13 Tick:11 State:2  *Ticks:160
---- PLAY QUEUE: Total Objects:1
    Note:60 EVENT:13 Tick:10 State:2  *Ticks:161
---- PLAY QUEUE: Total Objects:1
    Note:60 EVENT:13 Tick:9 State:2  *Ticks:162
---- PLAY QUEUE: Total Objects:1
    Note:60 EVENT:13 Tick:8 State:2  *Ticks:163
---- PLAY QUEUE: Total Objects:1
    Note:60 EVENT:13 Tick:7 State:2  *Ticks:164
---- PLAY QUEUE: Total Objects:1
    Note:60 EVENT:13 Tick:6 State:2  *Ticks:165
---- PLAY QUEUE: Total Objects:1
    Note:60 EVENT:13 Tick:5 State:2  *Ticks:166
---- PLAY QUEUE: Total Objects:1
    Note:60 EVENT:13 Tick:4 State:2  *Ticks:167
---- PLAY QUEUE: Total Objects:1
    Note:60 EVENT:13 Tick:3 State:2  *Ticks:168
---- PLAY QUEUE: Total Objects:1
    Note:60 EVENT:13 Tick:2 State:3  *Ticks:169
---- PLAY QUEUE: Total Objects:1
    Note:60 EVENT:13 Tick:1 State:3  *Ticks:170
---- PLAY QUEUE: Total Objects:1
    Note:60 EVENT:13 Tick:0 State:4  *Ticks:171
   ---- Note Timed Out: Pitch:60 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:62 EVENT:14 Tick:11 State:2  *Ticks:172
---- PLAY QUEUE: Total Objects:1
    Note:62 EVENT:14 Tick:10 State:2  *Ticks:173
---- PLAY QUEUE: Total Objects:1
    Note:62 EVENT:14 Tick:9 State:2  *Ticks:174
---- PLAY QUEUE: Total Objects:1
    Note:62 EVENT:14 Tick:8 State:2  *Ticks:175
---- PLAY QUEUE: Total Objects:1
    Note:62 EVENT:14 Tick:7 State:2  *Ticks:176
---- PLAY QUEUE: Total Objects:1
    Note:62 EVENT:14 Tick:6 State:2  *Ticks:177
---- PLAY QUEUE: Total Objects:1
    Note:62 EVENT:14 Tick:5 State:2  *Ticks:178
---- PLAY QUEUE: Total Objects:1
    Note:62 EVENT:14 Tick:4 State:2  *Ticks:179
---- PLAY QUEUE: Total Objects:1
    Note:62 EVENT:14 Tick:3 State:2  *Ticks:180
---- PLAY QUEUE: Total Objects:1
    Note:62 EVENT:14 Tick:2 State:3  *Ticks:181
---- PLAY QUEUE: Total Objects:1
    Note:62 EVENT:14 Tick:1 State:3  *Ticks:182
---- PLAY QUEUE: Total Objects:1
    Note:62 EVENT:14 Tick:0 State:4  *Ticks:183
   ---- Note Timed Out: Pitch:62 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:15 Tick:11 State:2  *Ticks:184
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:15 Tick:10 State:2  *Ticks:185
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:15 Tick:9 State:2  *Ticks:186
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:15 Tick:8 State:2  *Ticks:187
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:15 Tick:7 State:2  *Ticks:188
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:15 Tick:6 State:2  *Ticks:189
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:15 Tick:5 State:2  *Ticks:190
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:15 Tick:4 State:2  *Ticks:191
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:15 Tick:3 State:2  *Ticks:192
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:15 Tick:2 State:3  *Ticks:193
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:15 Tick:1 State:3  *Ticks:194
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:15 Tick:0 State:4  *Ticks:195
   ---- Note Timed Out: Pitch:64 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:16 Tick:11 State:2  *Ticks:196
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:16 Tick:10 State:2  *Ticks:197
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:16 Tick:9 State:2  *Ticks:198
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:16 Tick:8 State:2  *Ticks:199
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:16 Tick:7 State:2  *Ticks:200
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:16 Tick:6 State:2  *Ticks:201
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:16 Tick:5 State:2  *Ticks:202
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:16 Tick:4 State:2  *Ticks:203
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:16 Tick:3 State:2  *Ticks:204
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:16 Tick:2 State:3  *Ticks:205
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:16 Tick:1 State:3  *Ticks:206
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:16 Tick:0 State:4  *Ticks:207
   ---- Note Timed Out: Pitch:65 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:17 Tick:11 State:2  *Ticks:208
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:17 Tick:10 State:2  *Ticks:209
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:17 Tick:9 State:2  *Ticks:210
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:17 Tick:8 State:2  *Ticks:211
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:17 Tick:7 State:2  *Ticks:212
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:17 Tick:6 State:2  *Ticks:213
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:17 Tick:5 State:2  *Ticks:214
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:17 Tick:4 State:2  *Ticks:215
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:17 Tick:3 State:2  *Ticks:216
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:17 Tick:2 State:3  *Ticks:217
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:17 Tick:1 State:3  *Ticks:218
---- PLAY QUEUE: Total Objects:1
    Note:64 EVENT:17 Tick:0 State:4  *Ticks:219
   ---- Note Timed Out: Pitch:64 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:18 Tick:11 State:2  *Ticks:220
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:18 Tick:10 State:2  *Ticks:221
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:18 Tick:9 State:2  *Ticks:222
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:18 Tick:8 State:2  *Ticks:223
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:18 Tick:7 State:2  *Ticks:224
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:18 Tick:6 State:2  *Ticks:225
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:18 Tick:5 State:2  *Ticks:226
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:18 Tick:4 State:2  *Ticks:227
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:18 Tick:3 State:2  *Ticks:228
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:18 Tick:2 State:3  *Ticks:229
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:18 Tick:1 State:3  *Ticks:230
---- PLAY QUEUE: Total Objects:1
    Note:65 EVENT:18 Tick:0 State:4  *Ticks:231
   ---- Note Timed Out: Pitch:65 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:19 Tick:11 State:2  *Ticks:232
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:19 Tick:10 State:2  *Ticks:233
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:19 Tick:9 State:2  *Ticks:234
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:19 Tick:8 State:2  *Ticks:235
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:19 Tick:7 State:2  *Ticks:236
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:19 Tick:6 State:2  *Ticks:237
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:19 Tick:5 State:2  *Ticks:238
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:19 Tick:4 State:2  *Ticks:239
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:19 Tick:3 State:2  *Ticks:240
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:19 Tick:2 State:3  *Ticks:241
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:19 Tick:1 State:3  *Ticks:242
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:19 Tick:0 State:4  *Ticks:243
   ---- Note Timed Out: Pitch:67 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:20 Tick:11 State:2  *Ticks:244
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:20 Tick:10 State:2  *Ticks:245
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:20 Tick:9 State:2  *Ticks:246
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:20 Tick:8 State:2  *Ticks:247
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:20 Tick:7 State:2  *Ticks:248
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:20 Tick:6 State:2  *Ticks:249
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:20 Tick:5 State:2  *Ticks:250
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:20 Tick:4 State:2  *Ticks:251
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:20 Tick:3 State:2  *Ticks:252
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:20 Tick:2 State:3  *Ticks:253
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:20 Tick:1 State:3  *Ticks:254
---- PLAY QUEUE: Total Objects:1
    Note:69 EVENT:20 Tick:0 State:4  *Ticks:255
   ---- Note Timed Out: Pitch:69 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:1
    Note:67 EVENT:21 Tick:11 State:2  *Ticks:256
---- PLAY QUEUE: Total Objects:1
